ID,New
CroplandEnhanced,Coastal lagoons
CroplandEnhanced,Coastal saltmarsh
CroplandEnhanced,Cropland
CroplandEnhanced,Grassland
CroplandEnhanced,Heathland and shrub
CroplandEnhanced,Intertidal hard structures
CroplandEnhanced,Intertidal sediment
CroplandEnhanced,Lakes
CroplandEnhanced,Rocky shore
CroplandEnhanced,Sparsely vegetated land
CroplandEnhanced,Urban
CroplandEnhanced,Wetland
CroplandEnhanced,Woodland and forest
GrasslandEnhanced,Coastal lagoons
GrasslandEnhanced,Coastal saltmarsh
GrasslandEnhanced,Cropland
GrasslandEnhanced,Grassland
GrasslandEnhanced,Heathland and shrub
GrasslandEnhanced,Intertidal hard structures
GrasslandEnhanced,Intertidal sediment
GrasslandEnhanced,Lakes
GrasslandEnhanced,Rocky shore
GrasslandEnhanced,Sparsely vegetated land
GrasslandEnhanced,Urban
GrasslandEnhanced,Wetland
GrasslandEnhanced,Woodland and forest
Heathland and shrubEnhanced,Coastal lagoons
Heathland and shrubEnhanced,Coastal saltmarsh
Heathland and shrubEnhanced,Cropland
Heathland and shrubEnhanced,Grassland
Heathland and shrubEnhanced,Heathland and shrub
Heathland and shrubEnhanced,Intertidal hard structures
Heathland and shrubEnhanced,Intertidal sediment
Heathland and shrubEnhanced,Lakes
Heathland and shrubEnhanced,Rocky shore
Heathland and shrubEnhanced,Sparsely vegetated land
Heathland and shrubEnhanced,Urban
Heathland and shrubEnhanced,Wetland
Heathland and shrubEnhanced,Woodland and forest
Intertidal sedimentEnhanced,Coastal lagoons
Intertidal sedimentEnhanced,Coastal saltmarsh
Intertidal sedimentEnhanced,Cropland
Intertidal sedimentEnhanced,Grassland
Intertidal sedimentEnhanced,Heathland and shrub
Intertidal sedimentEnhanced,Intertidal hard structures
Intertidal sedimentEnhanced,Intertidal sediment
Intertidal sedimentEnhanced,Lakes
Intertidal sedimentEnhanced,Rocky shore
Intertidal sedimentEnhanced,Sparsely vegetated land
Intertidal sedimentEnhanced,Urban
Intertidal sedimentEnhanced,Wetland
Intertidal sedimentEnhanced,Woodland and forest
Intertidal hard structuresEnhanced,Coastal lagoons
Intertidal hard structuresEnhanced,Coastal saltmarsh
Intertidal hard structuresEnhanced,Cropland
Intertidal hard structuresEnhanced,Grassland
Intertidal hard structuresEnhanced,Heathland and shrub
Intertidal hard structuresEnhanced,Intertidal hard structures
Intertidal hard structuresEnhanced,Intertidal sediment
Intertidal hard structuresEnhanced,Lakes
Intertidal hard structuresEnhanced,Rocky shore
Intertidal hard structuresEnhanced,Sparsely vegetated land
Intertidal hard structuresEnhanced,Urban
Intertidal hard structuresEnhanced,Wetland
Intertidal hard structuresEnhanced,Woodland and forest
LakesEnhanced,Coastal lagoons
LakesEnhanced,Coastal saltmarsh
LakesEnhanced,Cropland
LakesEnhanced,Grassland
LakesEnhanced,Heathland and shrub
LakesEnhanced,Intertidal hard structures
LakesEnhanced,Intertidal sediment
LakesEnhanced,Lakes
LakesEnhanced,Rocky shore
LakesEnhanced,Sparsely vegetated land
LakesEnhanced,Urban
LakesEnhanced,Wetland
LakesEnhanced,Woodland and forest
Rocky shoreEnhanced,Coastal lagoons
Rocky shoreEnhanced,Coastal saltmarsh
Rocky shoreEnhanced,Cropland
Rocky shoreEnhanced,Grassland
Rocky shoreEnhanced,Heathland and shrub
Rocky shoreEnhanced,Intertidal hard structures
Rocky shoreEnhanced,Intertidal sediment
Rocky shoreEnhanced,Lakes
Rocky shoreEnhanced,Rocky shore
Rocky shoreEnhanced,Sparsely vegetated land
Rocky shoreEnhanced,Urban
Rocky shoreEnhanced,Wetland
Rocky shoreEnhanced,Woodland and forest
Sparsely vegetated landEnhanced,Coastal lagoons
Sparsely vegetated landEnhanced,Coastal saltmarsh
Sparsely vegetated landEnhanced,Cropland
Sparsely vegetated landEnhanced,Grassland
Sparsely vegetated landEnhanced,Heathland and shrub
Sparsely vegetated landEnhanced,Intertidal hard structures
Sparsely vegetated landEnhanced,Intertidal sediment
Sparsely vegetated landEnhanced,Lakes
Sparsely vegetated landEnhanced,Rocky shore
Sparsely vegetated landEnhanced,Sparsely vegetated land
Sparsely vegetated landEnhanced,Urban
Sparsely vegetated landEnhanced,Wetland
Sparsely vegetated landEnhanced,Woodland and forest
UrbanEnhanced,Coastal lagoons
UrbanEnhanced,Coastal saltmarsh
UrbanEnhanced,Cropland
UrbanEnhanced,Grassland
UrbanEnhanced,Heathland and shrub
UrbanEnhanced,Intertidal hard structures
UrbanEnhanced,Intertidal sediment
UrbanEnhanced,Lakes
UrbanEnhanced,Rocky shore
UrbanEnhanced,Sparsely vegetated land
UrbanEnhanced,Urban
UrbanEnhanced,Wetland
UrbanEnhanced,Woodland and forest
WetlandEnhanced,Coastal lagoons
WetlandEnhanced,Coastal saltmarsh
WetlandEnhanced,Cropland
WetlandEnhanced,Grassland
WetlandEnhanced,Heathland and shrub
WetlandEnhanced,Intertidal hard structures
WetlandEnhanced,Intertidal sediment
WetlandEnhanced,Lakes
WetlandEnhanced,Rocky shore
WetlandEnhanced,Sparsely vegetated land
WetlandEnhanced,Urban
WetlandEnhanced,Wetland
WetlandEnhanced,Woodland and forest
Woodland and forestEnhanced,Coastal lagoons
Woodland and forestEnhanced,Coastal saltmarsh
Woodland and forestEnhanced,Cropland
Woodland and forestEnhanced,Grassland
Woodland and forestEnhanced,Heathland and shrub
Woodland and forestEnhanced,Intertidal hard structures
Woodland and forestEnhanced,Intertidal sediment
Woodland and forestEnhanced,Lakes
Woodland and forestEnhanced,Rocky shore
Woodland and forestEnhanced,Sparsely vegetated land
Woodland and forestEnhanced,Urban
Woodland and forestEnhanced,Wetland
Woodland and forestEnhanced,Woodland and forest
Watercourse footprintCreated,Watercourse footprint
Watercourse footprintCreated,Coastal lagoons
Watercourse footprintCreated,Coastal saltmarsh
Watercourse footprintCreated,Cropland
Watercourse footprintCreated,Grassland
Watercourse footprintCreated,Heathland and shrub
Watercourse footprintCreated,Intertidal hard structures
Watercourse footprintCreated,Intertidal sediment
Watercourse footprintCreated,Lakes
Watercourse footprintCreated,Rocky shore
Watercourse footprintCreated,Sparsely vegetated land
Watercourse footprintCreated,Urban
Watercourse footprintCreated,Wetland
Watercourse footprintCreated,Woodland and forest
Watercourse footprintRetained,Watercourse footprint
Watercourse footprintEnhanced,Watercourse footprint
Created,Coastal lagoons
Created,Coastal saltmarsh
Created,Cropland
Created,Grassland
Created,Heathland and shrub
Created,Intertidal hard structures
Created,Intertidal sediment
Created,Lakes
Created,Rocky shore
Created,Sparsely vegetated land
Created,Urban
Created,Watercourse footprint
Created,Wetland
Created,Woodland and forest
